iter	Logloss
0	0.6844921395
1	0.67771241
2	0.6701745156
3	0.6650244549
4	0.6597681126
5	0.652349116
6	0.6448751475
7	0.6372197979
8	0.6297391546
9	0.6252622792
10	0.6184976784
11	0.6116330497
12	0.6052330326
13	0.5991107715
14	0.5953466898
15	0.5891401326
16	0.5829638322
17	0.5770699168
18	0.5713251927
19	0.5656242374
20	0.5621386516
21	0.556758922
22	0.5516044819
23	0.548074168
24	0.5434730347
25	0.5384966443
26	0.5340658381
27	0.5310566493
28	0.5262426287
29	0.5216698524
30	0.517192278
31	0.5130897073
32	0.5090517796
33	0.5063942182
34	0.5030463467
35	0.500626937
36	0.4982354582
37	0.4952947088
38	0.4925140262
39	0.4897061556
40	0.4863677531
41	0.4835246184
42	0.4808221919
43	0.4787923267
44	0.4768101454
45	0.4738715003
46	0.4712829958
47	0.4683536118
48	0.4657768447
49	0.4632456347
50	0.4607564861
51	0.458047203
52	0.4549020059
53	0.4519171266
54	0.4496666453
55	0.4469500291
56	0.4444311223
57	0.4421370071
58	0.4406336254
59	0.4381385181
60	0.43611728
61	0.4336265915
62	0.4312637874
63	0.4296221729
64	0.4274671893
65	0.4257535356
66	0.4238714899
67	0.4218443071
68	0.4200263557
69	0.4183765712
70	0.4161095537
71	0.4150497329
72	0.4131678981
73	0.4111383313
74	0.4094816655
75	0.4079459801
76	0.4064038189
77	0.4053754477
78	0.4043731427
79	0.4028278923
80	0.4011121049
81	0.4003924655
82	0.3994926906
83	0.3980299959
84	0.396951244
85	0.3951768284
86	0.3936241434
87	0.3927309827
88	0.3915025369
89	0.390610277
90	0.3890840641
91	0.3884032378
92	0.3872609659
93	0.386074958
94	0.3849062226
95	0.3836079732
96	0.3820881358
97	0.3807489625
98	0.3796232708
99	0.3785126982
100	0.3774678998
101	0.3762448166
102	0.3752082523
103	0.3738723501
104	0.3732113548
105	0.372224009
106	0.3716345817
107	0.3703460918
108	0.3698247427
109	0.3690239634
110	0.3679876717
111	0.3673923856
112	0.3662872029
113	0.3653887436
114	0.3645008344
115	0.3639495017
116	0.3629335426
117	0.3622178117
118	0.3612275526
119	0.3606693945
120	0.359855312
121	0.3591252145
122	0.3580346609
123	0.3576013048
124	0.3567189427
125	0.3562367696
126	0.3552764848
127	0.354421042
128	0.3539927044
129	0.353068524
130	0.3524272519
131	0.3517519687
132	0.3513031895
133	0.3506241888
134	0.3497470514
135	0.3493400565
136	0.3482581875
137	0.3478656761
138	0.3474768015
139	0.3470955707
140	0.3464775974
141	0.3460940067
142	0.3452517636
143	0.344629437
144	0.3440831973
145	0.3437935284
146	0.3431987153
147	0.3429331359
148	0.3421257312
149	0.3415664365
150	0.3410593602
151	0.3405359181
152	0.3401331596
153	0.3395507789
154	0.3391791943
155	0.3389851837
156	0.3383957896
157	0.338140634
158	0.3378602592
159	0.3372185334
160	0.3366481078
161	0.3360931505
162	0.3354693603
163	0.3348927334
164	0.3342570472
165	0.3339513379
166	0.3330265903
167	0.3324037242
168	0.3319818247
169	0.3314306894
170	0.3309143069
171	0.3304200187
172	0.3300705662
173	0.3296707582
174	0.3292824657
175	0.3288681197
176	0.3284886761
177	0.3282173334
178	0.3272418209
179	0.326443803
180	0.3262042262
181	0.3255833441
182	0.3253231811
183	0.3251477352
184	0.3247062731
185	0.3244525836
186	0.3242688864
187	0.323807376
188	0.3233689395
189	0.323145225
190	0.3220314898
191	0.3217623695
192	0.3209798633
193	0.3207134449
194	0.3201346153
195	0.3198977517
196	0.3195816463
197	0.3192274282
198	0.318595999
199	0.3184566733
200	0.3181749993
201	0.3177595981
202	0.3174257751
203	0.3171939401
204	0.3168997175
205	0.3167442303
206	0.3164769625
207	0.3162708645
208	0.316023514
209	0.3157632223
210	0.3155217079
211	0.3153503105
212	0.3149263828
213	0.3146964284
214	0.314462398
215	0.3143297719
216	0.3139592976
217	0.3137530491
218	0.3135279082
219	0.3134026599
220	0.3131197753
221	0.3128558337
222	0.3126205267
223	0.311798296
224	0.3114615368
225	0.3112885435
226	0.3111352414
227	0.3109178821
228	0.3107407933
229	0.3106134013
230	0.3103776222
231	0.3102347092
232	0.3099652646
233	0.3096057956
234	0.3092564112
235	0.3089224933
236	0.3082978899
237	0.3080577498
238	0.3075907894
239	0.3070450051
240	0.3069012888
241	0.3064202163
242	0.3062149561
243	0.3059737502
244	0.3057887478
245	0.3056327582
246	0.3054183382
247	0.3053134008
248	0.3052373038
249	0.3051263235
250	0.3049451511
251	0.3047854022
252	0.3044798399
253	0.3043232203
254	0.3041573133
255	0.3039599151
256	0.3038035142
257	0.30365479
258	0.3033566183
259	0.3031209355
260	0.3030004088
261	0.3027976504
262	0.3026637342
263	0.3024805177
264	0.3022917304
265	0.3021504724
266	0.3019687698
267	0.3015919571
268	0.3014246237
269	0.3011666426
270	0.3009766983
271	0.3007756343
272	0.3005809459
273	0.3004401239
274	0.3002935641
275	0.3001742122
276	0.2998140756
277	0.2994290993
278	0.2987002025
279	0.2985257178
280	0.2982713131
281	0.298125515
282	0.2980204285
283	0.2978832502
284	0.297740431
285	0.2970899911
286	0.296974931
287	0.2968219628
288	0.2966455698
289	0.2964818511
290	0.2963108585
291	0.2961101962
292	0.2960040237
293	0.2958537384
294	0.2957074565
295	0.295526499
296	0.2952961197
297	0.2949913068
298	0.2947161323
299	0.2946161639
300	0.2942718856
301	0.2940093966
302	0.2938581853
303	0.2937097675
304	0.2935973767
305	0.29346777
306	0.293306807
307	0.2932383432
308	0.2926899344
309	0.2925366865
310	0.2923011101
311	0.2920126911
312	0.2918919813
313	0.291775604
314	0.2915955376
315	0.2914023313
316	0.2912440678
317	0.2911043065
318	0.2909421787
319	0.2903589113
320	0.2902222964
321	0.2900297057
322	0.2899074785
323	0.2897349399
324	0.2895847083
325	0.2894625954
326	0.2893721118
327	0.2892962897
328	0.289147723
329	0.2890317113
330	0.2889217091
331	0.2888079427
332	0.2886841807
333	0.2884499755
334	0.2883216002
335	0.2882421049
336	0.2881309973
337	0.287782252
338	0.2876305824
339	0.2875023329
340	0.2873068373
341	0.2870579956
342	0.2869479128
343	0.286810309
344	0.2866404389
345	0.286474292
346	0.2862116231
347	0.2861416965
348	0.2859713105
349	0.2857881928
350	0.2856213678
351	0.285522044
352	0.2853016015
353	0.2851936761
354	0.2850323943
355	0.2848211621
356	0.2846915439
357	0.2841257209
358	0.2839468939
359	0.2837738115
360	0.2836388412
361	0.2835075164
362	0.283398847
363	0.2832214507
364	0.283093647
365	0.2830211435
366	0.2829391551
367	0.2828240111
368	0.2827542957
369	0.2825983469
370	0.2824871637
371	0.2823717198
372	0.2822708509
373	0.2821674017
374	0.282059309
375	0.2819592559
376	0.2818573675
377	0.2817156967
378	0.2816009633
379	0.2814539943
380	0.2813206589
381	0.2811875876
382	0.2809737964
383	0.2807842189
384	0.2806784501
385	0.2804614387
386	0.2803708375
387	0.2802539437
388	0.2801450931
389	0.2800385346
390	0.2799371523
391	0.279849342
392	0.2797095045
393	0.2795849492
394	0.2794317039
395	0.2792703539
396	0.2792026034
397	0.2789156752
398	0.2787858392
399	0.2786003938
400	0.2784886296
401	0.2784304807
402	0.2779186866
403	0.2777946372
404	0.2776241363
405	0.2775310929
406	0.2773453287
407	0.2772542885
408	0.2771531234
409	0.2766119881
410	0.2764516905
411	0.2763747561
412	0.2762459005
413	0.2760065626
414	0.2758851487
415	0.2756915212
416	0.2755946178
417	0.2754990239
418	0.2754212806
419	0.2752985993
420	0.2752202502
421	0.2751353021
422	0.2750337537
423	0.2747881028
424	0.2747206758
425	0.2745779557
426	0.2743918692
427	0.2742790458
428	0.2741228967
429	0.2739964376
430	0.273906963
431	0.2738443353
432	0.2737423432
433	0.2736399141
434	0.2735564847
435	0.2734495065
436	0.2733948784
437	0.2728350595
438	0.2726276208
439	0.2725303901
440	0.2724401135
441	0.272345702
442	0.2722681331
443	0.2721746517
444	0.2720589407
445	0.2716843892
446	0.2715879562
447	0.2714812608
448	0.2713559392
449	0.2712568738
450	0.2710406057
451	0.2709671094
452	0.2708957274
453	0.270824063
454	0.2706799468
455	0.2706369483
456	0.2705266519
457	0.2703927374
458	0.2703009548
459	0.2700909592
460	0.2699799291
461	0.2698790388
462	0.2697339151
463	0.2692519679
464	0.2691433761
465	0.2690569125
466	0.268960011
467	0.2688797123
468	0.2687662204
469	0.2686531143
470	0.2685620651
471	0.2684640992
472	0.2683740605
473	0.2682462678
474	0.2680755788
475	0.267929714
476	0.2678343543
477	0.2677543345
478	0.2676176288
479	0.2674927003
480	0.2674200874
481	0.2673299679
482	0.2672580316
483	0.2671795506
484	0.2671353096
485	0.2670602993
486	0.2668963215
487	0.2668471035
488	0.2667893333
489	0.2667249878
490	0.2666406847
491	0.2665374928
492	0.2664571559
493	0.2663615195
494	0.2662337494
495	0.2660811469
496	0.2659504416
497	0.2658580372
498	0.26554371
499	0.2651224645
