iter	Passed	Remaining
0	5	2905
1	10	2612
2	13	2292
3	16	2056
4	18	1864
5	21	1762
6	23	1688
7	26	1617
8	28	1539
9	30	1477
10	32	1436
11	34	1391
12	35	1344
13	37	1310
14	39	1275
15	41	1244
16	42	1219
17	45	1209
18	46	1183
19	48	1165
20	50	1140
21	51	1118
22	53	1101
23	54	1085
24	56	1069
25	58	1057
26	59	1048
27	61	1034
28	62	1023
29	64	1010
30	66	1000
31	67	988
32	69	976
33	70	966
34	71	956
35	73	948
36	75	942
37	76	934
38	78	928
39	80	920
40	81	912
41	83	906
42	84	901
43	86	894
44	87	888
45	89	882
46	90	876
47	92	870
48	94	866
49	95	861
50	97	855
51	98	850
52	100	845
53	101	839
54	103	835
55	104	831
56	106	826
57	107	821
58	109	816
59	110	812
60	112	809
61	113	805
62	115	801
63	117	797
64	118	793
65	120	789
66	121	785
67	123	782
68	124	778
69	126	774
70	127	771
71	129	767
72	130	765
73	132	762
74	133	759
75	135	755
76	136	752
77	138	749
78	140	746
79	141	743
80	143	740
81	144	737
82	146	734
83	147	731
84	149	728
85	150	725
86	152	723
87	153	720
88	155	717
89	156	714
90	158	711
91	159	708
92	161	705
93	162	702
94	164	700
95	165	697
96	167	695
97	168	692
98	170	690
99	171	687
100	173	684
101	174	681
102	176	679
103	177	677
104	179	674
105	180	672
106	182	669
107	183	667
108	185	666
109	187	663
110	188	661
111	191	662
112	193	661
113	195	660
114	196	659
115	198	658
116	200	657
117	202	656
118	204	654
119	206	653
120	208	651
121	209	649
122	211	648
123	213	647
124	215	645
125	217	644
126	219	643
127	221	643
128	223	642
129	225	640
130	227	639
131	228	637
132	230	635
133	232	634
134	234	633
135	235	631
136	237	630
137	239	629
138	241	627
139	243	625
140	245	624
141	247	622
142	248	621
143	250	619
144	252	618
145	254	616
146	256	615
147	258	614
148	260	614
149	262	613
150	264	612
151	266	610
152	268	609
153	271	608
154	273	607
155	274	606
156	276	604
157	278	603
158	280	601
159	282	600
160	284	598
161	285	596
162	287	594
163	289	592
164	290	590
165	292	588
166	294	586
167	295	584
168	297	582
169	298	579
170	300	577
171	301	575
172	303	573
173	304	571
174	306	569
175	307	566
176	309	564
177	311	562
178	312	560
179	314	558
180	315	556
181	317	554
182	318	551
183	320	549
184	321	547
185	323	545
186	324	543
187	326	541
188	327	539
189	329	537
190	330	535
191	332	533
192	333	531
193	335	528
194	336	526
195	338	524
196	339	522
197	341	520
198	343	518
199	344	516
200	345	514
201	347	512
202	349	510
203	350	508
204	352	506
205	353	504
206	355	502
207	356	500
208	358	498
209	359	496
210	361	494
211	362	492
212	363	490
213	365	488
214	367	486
215	368	484
216	370	482
217	372	481
218	374	480
219	376	479
220	378	477
221	380	476
222	382	474
223	384	473
224	385	471
225	387	470
226	389	468
227	391	466
228	393	465
229	395	463
230	397	462
231	399	461
232	401	459
233	403	458
234	404	456
235	406	454
236	408	452
237	409	450
238	411	449
239	413	447
240	414	445
241	416	443
242	417	441
243	419	439
244	420	438
245	422	436
246	423	434
247	425	432
248	426	430
249	428	428
250	429	426
251	431	424
252	432	422
253	434	420
254	436	418
255	437	417
256	439	415
257	440	413
258	442	411
259	443	409
260	445	407
261	446	405
262	448	403
263	449	401
264	451	400
265	452	398
266	454	396
267	455	394
268	457	392
269	458	390
270	460	389
271	462	387
272	463	385
273	464	383
274	466	381
275	467	379
276	469	377
277	470	376
278	472	374
279	473	372
280	475	370
281	477	368
282	478	366
283	479	365
284	481	363
285	482	361
286	484	359
287	485	357
288	487	355
289	488	354
290	490	352
291	491	350
292	493	348
293	495	347
294	497	345
295	498	343
296	500	342
297	502	340
298	504	339
299	505	337
300	507	335
301	509	334
302	511	332
303	512	330
304	514	328
305	515	326
306	517	325
307	518	323
308	520	321
309	521	319
310	523	317
311	524	316
312	526	314
313	527	312
314	529	310
315	530	309
316	532	307
317	533	305
318	535	303
319	536	301
320	538	300
321	539	298
322	541	296
323	543	295
324	544	293
325	546	291
326	547	289
327	549	287
328	550	286
329	552	284
330	554	282
331	556	281
332	558	280
333	560	278
334	561	276
335	563	274
336	564	273
337	566	271
338	568	270
339	570	268
340	572	266
341	574	265
342	576	263
343	577	262
344	579	260
345	582	259
346	584	257
